created_at,uploaded_a,1_What_is_,Pottery,Lithic,Slag,MSA,Year,Recorder,PointID,Latitude,Longitude ,accuracy_3,UTM_Northi,UTM_Eastin,UTM_Zone_3
2022/11/21 09:02:52.836,2022/11/21 12:09:40.000,1. Pottery (2),2,,,,2022,DSM,2022-DSM-1,31.665766000000000,-9.570722000000000,4,3503530,445897,29R
2022/11/21 09:18:12.430,2022/11/21 12:13:24.000,2. Bladelet core (1),,1,,,2022,DSM,2022-DSM-2,31.665755000000000,-9.570714000000000,4,3503529,445897,29R
2022/11/21 09:21:37.691,2022/11/21 12:09:42.000,3. LSA flake (1),,1,,,2022,DSM,2022-DSM-3,31.664086000000000,-9.574006000000000,4,3503346,445584,29R
2022/11/21 09:24:39.511,2022/11/21 12:09:44.000,4. Pottery (1),1,,,,2022,DSM,2022-DSM-4,31.663639000000000,-9.574501000000000,5,3503296,445537,29R
2022/11/21 09:25:19.334,2022/11/21 12:09:48.000,5. Pottery (1),1,,,,2022,DSM,2022-DSM-5,31.663668000000000,-9.574586000000000,4,3503300,445529,29R
2022/11/21 09:35:37.842,2022/11/21 12:09:50.000,6. Bladelet fragments (2),,2,,,2022,DSM,2022-DSM-6,31.663118000000000,-9.574954999999990,5,3503239,445494,29R
2022/11/21 09:38:10.795,2022/11/21 12:09:52.000,7. MSA Flake (1),,1,,1,2022,DSM,2022-DSM-7,31.663336000000000,-9.574536000000000,5,3503263,445534,29R
2022/11/21 09:39:44.896,2022/11/21 12:09:55.000,"8. Potter (1), flake (1)",1,,,,2022,DSM,2022-DSM-8,31.663394000000000,-9.574479999999990,4,3503269,445539,29R
2022/11/21 09:49:52.228,2022/11/21 12:09:57.000,9. Pottery (1),1,,,,2022,DSM,2022-DSM-9,31.665188000000000,-9.572089000000000,5,3503467,445767,29R
2022/11/21 09:51:21.759,2022/11/21 12:09:59.000,10. Slag (1),,,1,,2022,DSM,2022-DSM-10,31.665241999999900,-9.571875000000000,5,3503473,445787,29R
2022/11/21 09:53:24.621,2022/11/21 12:10:03.000,11. Blade and flake,,2,,,2022,DSM,2022-DSM-11,31.665246000000000,-9.571820000000000,5,3503473,445792,29R
2022/11/21 09:56:57.863,2022/11/21 12:10:06.000,"12. MSA notched, five flakes, slag, pottery",1,6,1,1,2022,DSM,2022-DSM-12,31.665243000000000,-9.571846000000000,6,3503473,445790,29R
2022/11/21 10:00:10.572,2022/11/21 12:10:10.000,"13. Pottery (2), flakes (5), Lev core",2,6,,1,2022,DSM,2022-DSM-13,31.665247999999900,-9.571751000000000,4,3503473,445799,29R
2022/11/21 10:01:58.780,2022/11/21 12:10:12.000,14. Side scraper and end scraper,,2,,,2022,DSM,2022-DSM-14,31.665317999999900,-9.571695999999990,4,3503481,445804,29R
2022/11/21 10:04:00.729,2022/11/21 12:10:14.000,15. MSA flake and flake (1),,2,,1,2022,DSM,2022-DSM-15,31.665315000000000,-9.571643999999990,4,3503481,445809,29R
2022/11/21 10:12:49.805,2022/11/21 12:10:17.000,"16. Laminar flake, flakes (2)",,3,,,2022,DSM,2022-DSM-16,31.665386999999900,-9.570873000000000,5,3503488,445882,29R
2022/11/21 10:13:35.311,2022/11/21 12:10:19.000,17. Primary flake,,1,,,2022,DSM,2022-DSM-17,31.665369999999900,-9.570890000000000,4,3503487,445881,29R
2022/11/21 10:16:43.807,2022/11/21 12:10:21.000,18. Pottery (1),1,,,,2022,DSM,2022-DSM-18,31.665322000000000,-9.571383000000000,5,3503481,445834,29R
2022/11/21 10:20:22.131,2022/11/21 12:10:25.000,19. Pottery,1,,,,2022,DSM,2022-DSM-19,31.664760999999900,-9.572265000000000,15,3503420,445750,29R
2022/11/21 10:21:54.395,2022/11/21 12:10:27.000,20. Pottery (3),3,,,,2022,DSM,2022-DSM-20,31.664676000000000,-9.572611999999990,5,3503410,445717,29R
2022/11/21 10:24:37.753,2022/11/21 12:10:29.000,21. Flake,,1,,,2022,DSM,2022-DSM-21,31.664418999999900,-9.573116000000000,5,3503382,445669,29R
2022/11/21 10:26:18.674,2022/11/21 12:10:33.000,22. Flake (3),,3,,,2022,DSM,2022-DSM-22,31.664140000000000,-9.573442999999990,4,3503351,445638,29R
2022/11/21 10:29:17.395,2022/11/21 12:10:35.000,"23. Pottery (2), flakes (5)",2,5,,,2022,DSM,2022-DSM-23,31.664110999999900,-9.573518000000000,5,3503348,445631,29R
2022/11/21 10:31:26.789,2022/11/21 12:10:37.000,"24. Blade fragment, flakes (2)",,3,,,2022,DSM,2022-DSM-24,31.664085000000000,-9.573575999999990,4,3503345,445625,29R
2022/11/21 10:32:54.253,2022/11/21 12:10:40.000,25. Bladelet core,,1,,,2022,DSM,2022-DSM-25,31.664062000000000,-9.573645000000000,5,3503343,445619,29R
2022/11/21 10:34:22.997,2022/11/21 12:10:44.000,26. Flake,,1,,,2022,DSM,2022-DSM-26,31.663896000000000,-9.573790000000000,5,3503325,445605,29R
2022/11/21 10:35:27.187,2022/11/21 12:10:49.000,27. Flake,,1,,,2022,DSM,2022-DSM-27,31.663809000000000,-9.573903000000000,5,3503315,445594,29R
2022/11/21 10:43:09.022,2022/11/21 12:11:27.000,28. Flake,,1,,,2022,DSM,2022-DSM-28,31.662609000000000,-9.575634000000000,5,3503183,445429,29R
2022/11/21 10:44:17.555,2022/11/21 12:11:29.000,29. Pottery,1,,,,2022,DSM,2022-DSM-29,31.662503999999900,-9.575874000000000,5,3503171,445406,29R
2022/11/21 10:47:20.899,2022/11/21 12:11:31.000,30. Sidescraper,,1,,,2022,DSM,2022-DSM-30,31.662378000000000,-9.575651000000000,10,3503157,445427,29R
2022/11/21 10:51:21.609,2022/11/21 12:11:35.000,31. Pottery,1,,,,2022,DSM,2022-DSM-31,31.662682000000000,-9.575205000000000,5,3503191,445470,29R
2022/11/21 10:52:57.777,2022/11/21 12:11:37.000,32. Core tab,,1,,,2022,DSM,2022-DSM-32,31.662730000000000,-9.575172999999990,5,3503196,445473,29R
2022/11/21 10:56:02.241,2022/11/21 12:11:39.000,33. Pottery,1,,,,2022,DSM,2022-DSM-33,31.662831000000000,-9.574787000000000,5,3503207,445510,29R
2022/11/21 11:01:03.335,2022/11/21 12:11:43.000,"34. Blade (2), flake (1), pottery(1)",1,3,,,2022,DSM,2022-DSM-34,31.663323999999900,-9.574120000000000,5,3503261,445573,29R
2022/11/21 11:03:05.417,2022/11/21 12:11:45.000,35. Flakes (2),,2,,,2022,DSM,2022-DSM-35,31.663295999999900,-9.574189000000000,4,3503258,445567,29R
2022/11/21 11:04:17.201,2022/11/21 12:11:47.000,36. Flakes (3),,3,,,2022,DSM,2022-DSM-36,31.663459000000000,-9.573980000000000,5,3503276,445587,29R
2022/11/21 11:05:18.218,2022/11/21 12:11:50.000,37. Flake core,1,,,,2022,DSM,2022-DSM-37,31.663535000000000,-9.573929000000000,4,3503285,445591,29R
2022/11/21 11:09:02.869,2022/11/21 12:11:52.000,"38. Small core, retouched flake, flakes (2)",,5,,,2022,DSM,2022-DSM-38,31.663519000000000,-9.573841000000000,5,3503283,445600,29R
2022/11/21 11:12:33.959,2022/11/21 12:11:54.000,"39. Blade fragment, flakes (4)",,4,,,2022,DSM,2022-DSM-39,31.663568999999900,-9.573649000000000,6,3503288,445618,29R
2022/11/21 11:14:45.488,2022/11/21 12:11:58.000,"40. Tablet, core, flakes (2)",,5,,,2022,DSM,2022-DSM-40,31.663665999999900,-9.573620000000000,5,3503299,445621,29R
2022/11/21 11:16:34.964,2022/11/21 12:12:00.000,41. Flakes (3),,3,,,2022,DSM,2022-DSM-41,31.663627999999900,-9.573479000000000,6,3503295,445634,29R
2022/11/21 11:19:02.551,2022/11/21 12:12:02.000,"42. Flakes (2), pottery (1)",1,2,,,2022,DSM,2022-DSM-42,31.663732000000000,-9.573421000000000,5,3503306,445640,29R
2022/11/21 11:20:03.609,2022/11/21 12:12:05.000,43. Flake (1),,1,,,2022,DSM,2022-DSM-43,31.663796000000000,-9.573307000000000,5,3503313,445651,29R
2022/11/21 11:22:15.641,2022/11/21 12:12:07.000,"44. Flakes (12), blade (1), sidescraper (1)",,14,,,2022,DSM,2022-DSM-44,31.663882999999900,-9.573267000000000,4,3503323,445654,29R
2022/11/21 11:25:17.853,2022/11/21 12:12:09.000,45. Flakes (3),,2,,,2022,DSM,2022-DSM-45,31.663943000000000,-9.573314999999990,5,3503330,445650,29R
2022/11/21 11:29:06.478,2022/11/21 12:12:13.000,"46. Endscraper (1), flakes (3)",,4,,,2022,DSM,2022-DSM-46,31.664080999999900,-9.573212000000000,5,3503345,445660,29R
2022/11/21 11:30:05.204,2022/11/21 12:12:15.000,"47. Flake (1), pottery (2)",2,1,,,2022,DSM,2022-DSM-47,31.664075000000000,-9.573172000000000,8,3503344,445663,29R
2022/11/21 11:31:22.575,2022/11/21 12:12:17.000,"48. Flakes (4), core (1)",,5,,,2022,DSM,2022-DSM-48,31.664102000000000,-9.573152000000000,4,3503347,445665,29R
2022/11/21 11:34:01.487,2022/11/21 12:12:21.000,49. Sidescraper,,1,,,2022,DSM,2022-DSM-49,31.664242999999900,-9.572955000000000,4,3503363,445684,29R
2022/11/21 11:36:09.620,2022/11/21 12:12:23.000,"50. Endscraper (1), Flake (1)",,2,,,2022,DSM,2022-DSM-50,31.664299000000000,-9.572903000000000,8,3503369,445689,29R
2022/11/21 11:37:22.193,2022/11/21 12:12:25.000,51. Flakes (2),,2,,,2022,DSM,2022-DSM-51,31.664356000000000,-9.572792000000000,4,3503375,445700,29R
2022/11/21 11:39:25.675,2022/11/21 12:12:28.000,"52. Pottery (1), flake (1)",1,1,,,2022,DSM,2022-DSM-52,31.664335999999900,-9.572736000000000,5,3503373,445705,29R
